特立尼达和多巴哥	11	-61
图瓦卢	-8	178
坦桑尼亚	-6	35
乌克兰	49	32
乌干达	1	32
美国	38	-97
乌拉圭	-33	-56
乌兹别克斯坦	41	64
委内瑞拉	8	-66
越南	16	106
瓦努阿图	-16	167
瓦利斯和富图纳群岛	-13.3	-176.2
萨摩亚	-13.5833	-172.3333
也门	15	48
马约特	-12.8333	45.1667
南非	-29	24
赞比亚	-15	30
津巴布韦	-20	30
梵蒂冈城国	13.25	-61.2
巴勒斯坦领土	32	35.25
澳门	22.1667	113.55
香港	22.25	114.1667
